name,table,columns,size,percent_used,index_scans,seq_scans,unused
public.idx_patients_facility_patient_code,public.patients,"facility_id,patient_code",16 kB,0%,0,0,t
public.idx_consents_patient_id,public.consents,patient_id,16 kB,100%,2,0,f
public.idx_patients_facility_name_dob,public.patients,"facility_id,full_name,date_of_birth",16 kB,100%,2,0,f
public.idx_cases_created_at,public.cases,created_at,16 kB,0%,0,0,t
public.clinician_professional_profiles_pkey,public.clinician_professional_profiles,id,16 kB,100%,4,0,f
public.patients_pkey,public.patients,id,16 kB,100%,525,0,f
public.idx_cases_facility_id,public.cases,facility_id,16 kB,0%,0,0,t
public.idx_intake_sessions_expires,public.intake_sessions,expires_at,16 kB,0%,0,0,t
public.idx_patients_created_at,public.patients,created_at,16 kB,100%,1,0,f
public.intake_sessions_pkey,public.intake_sessions,id,16 kB,100%,42,0,f
public.idx_consents_case_id,public.consents,case_id,16 kB,0%,0,0,t
public.documents_pkey,public.documents,id,16 kB,100%,22,0,f
public.consents_pkey,public.consents,id,16 kB,100%,33,0,f
public.audit_logs_pkey,public.audit_logs,id,16 kB,0%,0,0,t
public.idx_audit_actor,public.audit_logs,actor_id,16 kB,0%,0,0,t
public.idx_red_flags_case_id,public.red_flag_events,case_id,16 kB,100%,16,0,f
public.idx_sync_mutations_key_hash,public.sync_mutations,"idempotency_key,payload_hash",16 kB,100%,3,0,f
public.idx_audit_created_at,public.audit_logs,created_at,16 kB,0%,0,0,t
public.sync_mutations_user_id_idempotency_key_key,public.sync_mutations,"user_id,idempotency_key",16 kB,100%,30,0,f
public.patients_patient_code_key,public.patients,patient_code,16 kB,0%,0,0,t
public.idx_clinician_prof_reg_no,public.clinician_professional_profiles,registration_number,16 kB,0%,0,0,t
public.idx_patients_facility_phone,public.patients,"facility_id,phone",16 kB,0%,0,0,t
public.idx_clinician_prof_facility,public.clinician_professional_profiles,requested_facility_id,16 kB,0%,0,0,t
public.sync_mutations_user_key_uniq,public.sync_mutations,"user_id,idempotency_key",16 kB,0%,0,0,t
public.kiosk_instances_pkey,public.kiosk_instances,id,16 kB,100%,66,0,f
public.idx_clinician_prof_status,public.clinician_professional_profiles,account_status,16 kB,0%,0,0,t
public.idx_kiosk_instances_facility,public.kiosk_instances,facility_id,16 kB,0%,0,0,t
public.idx_kiosk_instances_status,public.kiosk_instances,status,16 kB,0%,0,0,t
public.idx_intake_sessions_patient,public.intake_sessions,patient_id,16 kB,0%,0,0,t
public.idx_documents_case_id,public.documents,case_id,16 kB,0%,0,0,t
public.idx_clinician_prof_user_id,public.clinician_professional_profiles,user_id,16 kB,100%,19,0,f
public.red_flag_events_pkey,public.red_flag_events,id,16 kB,100%,10,0,f
public.idx_intake_sessions_status,public.intake_sessions,status,16 kB,0%,0,0,t
public.idx_kiosk_capability_revocations_expires,public.kiosk_capability_revocations,expires_at,16 kB,0%,0,0,t
public.patients_abha_id_key,public.patients,abha_id,16 kB,0%,0,0,t
public.profiles_pkey,public.profiles,id,16 kB,100%,26553,0,f
public.idx_sync_mutations_resource,public.sync_mutations,resource_id,16 kB,0%,0,0,t
public.idx_patients_code,public.patients,patient_code,16 kB,0%,0,0,t
public.sync_mutations_pkey,public.sync_mutations,id,16 kB,100%,12,0,f
public.idx_sync_mutations_user,public.sync_mutations,user_id,16 kB,0%,0,0,t
public.idx_audit_resource,public.audit_logs,"resource_type,resource_id",16 kB,100%,1,0,f
public.idx_cases_status,public.cases,status,16 kB,100%,10,0,f
public.idx_patients_phone,public.patients,phone,16 kB,0%,0,0,t
public.idx_cases_clinician_id,public.cases,clinician_id,16 kB,0%,0,0,t
public.cases_pkey,public.cases,id,16 kB,100%,140,0,f
public.idx_intake_sessions_facility,public.intake_sessions,facility_id,16 kB,0%,0,0,t
public.idx_sync_mutations_key,public.sync_mutations,idempotency_key,16 kB,0%,0,0,t
public.clinician_professional_profiles_user_id_key,public.clinician_professional_profiles,user_id,16 kB,100%,17,0,f
public.idx_cases_patient_id,public.cases,patient_id,16 kB,100%,16,0,f
public.idx_sync_mutations_composite,public.sync_mutations,"user_id,idempotency_key",16 kB,0%,0,0,t
public.idx_documents_patient_id,public.documents,patient_id,16 kB,100%,15,0,f
public.kiosk_capability_revocations_pkey,public.kiosk_capability_revocations,session_id,16 kB,100%,38,0,f
public.idx_remote_invites_token_hash,public.remote_intake_invitations,token_hash,8192 bytes,100%,15,0,f
public.idx_remote_invites_facility,public.remote_intake_invitations,facility_id,8192 bytes,0%,0,0,t
public.idx_case_amendments_case_id,public.case_amendments,case_id,8192 bytes,100%,58,0,f
public.case_amendments_pkey,public.case_amendments,id,8192 bytes,0%,0,0,t
public.idx_ext_id_active_unique_national,public.patient_external_identifiers,"identifier_type,identifier_hash",8192 bytes,0%,0,0,t
public.remote_intake_invitations_pkey,public.remote_intake_invitations,id,8192 bytes,0%,0,0,t
public.idx_ext_id_active_facility_mrn,public.patient_external_identifiers,"facility_id,identifier_type,identifier_hash",8192 bytes,0%,0,0,t
public.patient_external_identifiers_pkey,public.patient_external_identifiers,id,8192 bytes,0%,0,0,t
public.idx_ext_id_patient_id,public.patient_external_identifiers,patient_id,8192 bytes,0%,0,0,t
public.idx_ext_id_facility_id,public.patient_external_identifiers,facility_id,8192 bytes,0%,0,0,t
public.remote_intake_invitations_token_hash_key,public.remote_intake_invitations,token_hash,8192 bytes,0%,0,0,t
