total_exec_time,prop_exec_time,ncalls,sync_io_time,query
00:00:02.647594,38.1%,6,00:00:00,"SELECT
  e.name,
  n.nspname AS schema,
  e.default_version,
  x.extversion AS installed_version,
  e.comment,
  ev.schema AS default_version_schema
FROM
  pg_available_extensions e
  LEFT JOIN pg_extension x ON e.name = x.extname
  LEFT JOIN pg_namespace n ON x.extnamespace = n.oid
  LEFT JOIN pg_available_extension_versions ev
    ON ev.name = e.name AND ev.version = e.default_version"
00:00:00.25334,3.6%,2,00:00:00,"-- Ref: https://github.com/okbob/plpgsql_check#mass-check
SELECT p.proname, plpgsql_check_function(p.oid, format:=$2)
FROM pg_catalog.pg_namespace n
JOIN pg_catalog.pg_proc p ON pronamespace = n.oid
JOIN pg_catalog.pg_language l ON p.prolang = l.oid
WHERE l.lanname = $3 AND p.prorettype <> $4 AND n.nspname = $1::text"
00:00:00.209165,3.0%,2,00:00:00,"CREATE TABLE IF NOT EXISTS public.clinician_professional_profiles (
  id UUID PRIMARY KEY DEFAULT gen_random_uuid(),
  user_id UUID NOT NULL UNIQUE REFERENCES public.profiles(id) ON DELETE CASCADE,
  professional_type TEXT NOT NULL CHECK (professional_type IN (
    'allopathy',
    'ayush_ayurveda',
    'ayush_yoga',
    'ayush_unani',
    'ayush_siddha',
    'ayush_homeopathy',
    'nursing',
    'paramedical'
  )),
  registration_number TEXT NOT NULL,
  registration_authority TEXT NOT NULL,
  registration_state TEXT NOT NULL,
  verification_provider TEXT NOT NULL,
  verification_status TEXT NOT NULL DEFAULT 'pending' CHECK (verification_status IN (
    'pending',
    'verified',
    'rejected',
    'recheck_required'
  )),
  verification_reference TEXT,
  verified_at TIMESTAMPTZ,
  recheck_at TIMESTAMPTZ,
  requested_facility_id TEXT NOT NULL,
  facility_role TEXT NOT NULL DEFAULT 'doctor',
  account_status TEXT NOT NULL DEFAULT 'PENDING_IDENTITY' CHECK (account_status IN (
    'PENDING_IDENTITY',
    'IDENTITY_VERIFIED',
    'PROFESSIONAL_VERIFICATION_PENDING',
    'PROFESSIONAL_VERIFIED',
    'MFA_REQUIRED',
    'PENDING_FACILITY_APPROVAL',
    'ACTIVE',
    'REJECTED',
    'SUSPENDED',
    'REVOKED',
    'RECHECK_REQUIRED'
  )),
  mfa_enrolled BOOLEAN NOT NULL DEFAULT false,
  mfa_secret TEXT,
  facility_approved_by UUID REFERENCES public.profiles(id),
  facility_approved_at TIMESTAMPTZ,
  rejection_reason TEXT,
  created_at TIMESTAMPTZ NOT NULL DEFAULT now(),
  updated_at TIMESTAMPTZ NOT NULL DEFAULT now()
)"
00:00:00.170303,2.5%,2,00:00:00,"-- Ref: https://github.com/okbob/plpgsql_check#mass-check
SELECT p.proname, plpgsql_check_function(p.oid, format:=$2)
FROM pg_catalog.pg_namespace n
JOIN pg_catalog.pg_proc p ON pronamespace = n.oid
JOIN pg_catalog.pg_language l ON p.prolang = l.oid
WHERE l.lanname = $3 AND p.prorettype <> $4 AND n.nspname = $1::text"
00:00:00.137419,2.0%,2,00:00:00,"-- Ref: https://github.com/okbob/plpgsql_check#mass-check
SELECT p.proname, plpgsql_check_function(p.oid, format:=$2)
FROM pg_catalog.pg_namespace n
JOIN pg_catalog.pg_proc p ON pronamespace = n.oid
JOIN pg_catalog.pg_language l ON p.prolang = l.oid
WHERE l.lanname = $3 AND p.prorettype <> $4 AND n.nspname = $1::text"
00:00:00.116311,1.7%,3,00:00:00,"-- Migration: 20260915000002_phase_b_final_security_closure.sql

-- 1. Remove raw mfa_secret column; add Supabase MFA factor tracking
ALTER TABLE public.clinician_professional_profiles
  DROP COLUMN IF EXISTS mfa_secret"
00:00:00.104033,1.5%,2,00:00:00,"-- Migration: 20260915000001_harden_clinician_onboarding.sql
-- 1. Align professional_type CHECK constraint
ALTER TABLE public.clinician_professional_profiles
  DROP CONSTRAINT IF EXISTS clinician_professional_profiles_professional_type_check"
00:00:00.102519,1.5%,1,00:00:00,"SELECT proname, prosrc FROM pg_proc WHERE proname LIKE $1"
00:00:00.101667,1.5%,1,00:00:00,"SELECT p.proname, pg_get_function_arguments(p.oid) as args, pg_get_functiondef(p.oid) as def
FROM pg_proc p
JOIN pg_namespace n ON p.pronamespace = n.oid
WHERE n.nspname = $1 AND p.proname LIKE $2"
00:00:00.079666,1.1%,1,00:00:00,"DO $$
DECLARE
  v_patient_id UUID;
  v_pat_fac TEXT;
BEGIN
  -- Get one existing patient
  SELECT id, facility_id INTO v_patient_id, v_pat_fac FROM public.patients LIMIT 1;
  
  IF v_patient_id IS NOT NULL THEN
    BEGIN
      -- Attempt insertion with a mismatched facility_id
      INSERT INTO public.cases (id, patient_id, facility_id, chief_complaint, status)
      VALUES (gen_random_uuid(), v_patient_id, 'mismatched-facility-id', 'Test complaint', 'draft');
      
      RAISE EXCEPTION 'TRIGGER_FAILED: Case insertion with mismatched facility should have failed';
    EXCEPTION
      WHEN OTHERS THEN
        IF SQLERRM LIKE '%FORBIDDEN: Case facility_id%' THEN
          RAISE NOTICE 'SUCCESS: Trigger trg_check_case_facility correctly blocked mismatched facility insertion: %', SQLERRM;
        ELSE
          RAISE NOTICE 'Encountered expected error: %', SQLERRM;
        END IF;
    END;
  ELSE
    RAISE NOTICE 'No existing patients to test';
  END IF;
END $$"
